id,region,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,price
27747,memphis,2012,ram,fair,8 cylinders,gas,116135,clean,automatic,4wd,full-size,truck,white,,12745.506208112398
27748,humboldt county,2014,ram,fair,8 cylinders,gas,192106,clean,automatic,4wd,full-size,SUV,white,,8001.620922882142
27749,phoenix,2013,toyota,excellent,4 cylinders,gas,209751,clean,automatic,fwd,compact,hatchback,silver,az,5190.720035694208
27750,san diego,2019,ram,good,6 cylinders,diesel,145943,clean,automatic,4wd,full-size,truck,silver,,17447.742425060205
27751,hawaii,2013,volkswagen,excellent,4 cylinders,gas,87269,clean,automatic,fwd,full-size,sedan,black,hi,8238.706919012106
27752,great falls,2003,chevrolet,excellent,6 cylinders,gas,52801,parts only,automatic,4wd,full-size,SUV,green,mt,13948.621992148814
27753,tampa bay area,2018,chevrolet,excellent,8 cylinders,diesel,3113,clean,automatic,4wd,full-size,pickup,white,,39001.21344662335
27754,stockton,2017,honda,excellent,4 cylinders,,35839,clean,manual,fwd,compact,sedan,black,ca,10672.351745376698
27755,south jersey,2014,toyota,excellent,4 cylinders,gas,111171,clean,manual,fwd,full-size,sedan,green,nj,6571.582402854169
27756,boulder,2011,volkswagen,like new,4 cylinders,gas,77638,clean,automatic,fwd,mid-size,sedan,black,co,8928.318033316584
27757,hickory / lenoir,2007,ford,excellent,6 cylinders,gas,101267,clean,automatic,fwd,full-size,sedan,black,nc,9242.410620657813
27758,panama city,1969,lincoln,excellent,4 cylinders,gas,143113,clean,manual,fwd,compact,sedan,brown,fl,3783.6648074259374
27759,northern michigan,2015,ram,excellent,6 cylinders,diesel,92529,clean,automatic,4wd,full-size,pickup,silver,mi,25323.47845409302
27760,altoona-johnstown,1995,BMW,excellent,8 cylinders,gas,41588,clean,automatic,rwd,full-size,coupe,silver,pa,13357.467248952715
27761,tallahassee,2018,honda,good,4 cylinders,,58587,rebuilt,automatic,fwd,compact,sedan,blue,,9163.634086012302
27762,prescott,2012,chevrolet,excellent,6 cylinders,gas,78635,clean,automatic,4wd,mid-size,SUV,black,,17605.18744748585
27763,des moines,2019,chevrolet,good,6 cylinders,gas,43098,clean,automatic,fwd,full-size,coupe,black,ia,12206.700724231512
27764,sioux falls / SE SD,2008,jeep,excellent,6 cylinders,gas,20515,clean,automatic,4wd,mid-size,SUV,black,sd,20142.506636724258
27765,western slope,2005,lexus,good,4 cylinders,,37111,clean,automatic,rwd,mid-size,sedan,green,co,9819.706669892674
27766,south jersey,2009,chevrolet,excellent,4 cylinders,gas,148548,clean,automatic,fwd,mid-size,SUV,green,nj,7315.046216702012
27767,richmond,2011,chevrolet,excellent,6 cylinders,gas,41974,clean,automatic,rwd,mid-size,SUV,white,va,20664.670548805756
27768,nashville,1991,bmw,like new,6 cylinders,gas,12615,clean,automatic,rwd,full-size,coupe,silver,tn,15723.339245896846
27769,raleigh / durham / CH,2016,jeep,excellent,4 cylinders,gas,176333,clean,automatic,4wd,full-size,SUV,black,nc,10931.966317413582
27770,central NJ,2003,volkswagen,fair,4 cylinders,diesel,257440,clean,automatic,fwd,full-size,sedan,red,nj,2750.705387402905
27771,orlando,2015,ford,excellent,8 cylinders,gas,93549,clean,automatic,rwd,full-size,SUV,white,fl,16230.669139057443
27772,detroit metro,2014,bmw,like new,6 cylinders,gas,91084,clean,automatic,rwd,mid-size,SUV,black,mi,15457.938305741809
27773,orlando,2007,ford,excellent,4 cylinders,gas,156092,clean,manual,4wd,full-size,truck,black,fl,13380.685290928575
27774,mcallen / edinburg,2010,ford,good,6 cylinders,gas,82659,clean,automatic,fwd,full-size,sedan,black,tx,8319.91293757422
27775,tucson,2015,chevrolet,excellent,4 cylinders,gas,33295,clean,automatic,fwd,mid-size,sedan,silver,az,12766.906546524295
27776,tulsa,1998,chevrolet,good,8 cylinders,gas,155981,clean,automatic,rwd,full-size,pickup,white,ok,9852.088783619325
27777,rockford,2004,ford,like new,4 cylinders,gas,249156,clean,automatic,fwd,mid-size,sedan,black,,5031.4167586901185
27778,"washington, DC",2017,ford,excellent,6 cylinders,diesel,188404,clean,automatic,4wd,full-size,truck,black,dc,16804.32522973138
27779,san antonio,2004,ACURA,excellent,6 cylinders,gas,146871,clean,automatic,fwd,mid-size,sedan,silver,tx,5474.49256452957
27780,phoenix,2013,volkswagen,excellent,4 cylinders,gas,166151,clean,automatic,fwd,compact,sedan,silver,az,4954.677528455536
27781,atlanta,2011,honda,excellent,6 cylinders,gas,215435,clean,automatic,fwd,full-size,sedan,red,ga,4553.4628821782035
27782,tampa bay area,2015,chevrolet,like new,4 cylinders,gas,210748,rebuilt,automatic,4wd,mid-size,SUV,black,,11858.992157092554
27783,hudson valley,2011,toyota,good,6 cylinders,gas,169221,clean,automatic,fwd,compact,sedan,blue,ny,4877.095011139771
27784,lancaster,2010,bmw,excellent,8 cylinders,,94518,clean,automatic,rwd,full-size,SUV,red,pa,12872.34288567899
27785,fayetteville,1986,ford,excellent,10 cylinders,gas,100239,clean,manual,rwd,full-size,van,white,nc,14516.88048665978
27786,milwaukee,2013,toyota,excellent,6 cylinders,gas,32422,rebuilt,automatic,fwd,full-size,sedan,silver,,12061.820350996428
27787,springfield,2011,chevrolet,excellent,6 cylinders,gas,198980,clean,automatic,rwd,full-size,truck,white,il,12000.548430804907
27788,lancaster,2005,bmw,excellent,6 cylinders,gas,76131,clean,manual,rwd,mid-size,convertible,black,pa,14732.739490006566
27789,syracuse,2001,jeep,excellent,8 cylinders,gas,113204,clean,automatic,4wd,full-size,SUV,black,,12275.645035116468
27790,SF bay area,1998,ram,excellent,6 cylinders,diesel,166794,clean,automatic,4wd,full-size,pickup,grey,ca,17015.375872215966
27791,high rockies,2012,buick,excellent,6 cylinders,gas,97604,clean,automatic,fwd,mid-size,coupe,white,co,10892.544719970208
27792,north jersey,2004,ford,excellent,6 cylinders,gas,192664,clean,manual,4wd,full-size,pickup,silver,nj,9782.750531451104
27793,dallas / fort worth,2012,volkswagen,good,4 cylinders,gas,74775,clean,automatic,fwd,mid-size,sedan,grey,tx,6982.275420421832
27794,austin,1987,ford,good,6 cylinders,,119555,clean,manual,rwd,full-size,truck,white,tx,11007.9776246887
27795,chicago,2015,ＴＯＹＯＴＡ,excellent,6 cylinders,gas,71626,clean,automatic,rwd,mid-size,sedan,silver,il,12275.008517344606
27796,new hampshire,1972,pontiac,excellent,8 cylinders,gas,7836,clean,manual,rwd,mid-size,coupe,silver,nh,11068.902786144286
27797,inland empire,2015,nissan,good,4 cylinders,gas,204095,clean,automatic,fwd,mid-size,hatchback,grey,ca,5030.485066773708
27798,wichita,2015,ford,excellent,4 cylinders,gas,154248,clean,automatic,fwd,mid-size,bus,black,ks,9315.897547152834
27799,south florida,2014,kia,like new,4 cylinders,,132839,clean,automatic,fwd,full-size,sedan,black,fl,8318.536267099811
27800,north jersey,2009,CHEVROLET,excellent,8 cylinders,gas,21060,rebuilt,automatic,4wd,full-size,SUV,black,nj,23671.2251104502
27801,jacksonville,2005,honda,fair,6 cylinders,gas,147167,clean,automatic,fwd,full-size,sedan,red,fl,3717.772353850642
27802,bend,2016,audi,excellent,4 cylinders,gas,122017,clean,automatic,fwd,mid-size,sedan,silver,or,9691.140570956548
27803,hickory / lenoir,2011,chevrolet,excellent,8 cylinders,gas,8915,clean,automatic,4wd,mid-size,truck,white,nc,28691.21471705477
27804,wyoming,2011,BMW,excellent,4 cylinders,gas,135688,clean,other,fwd,mid-size,sedan,white,,8330.62453619237
27805,baltimore,1995,ford,excellent,6 cylinders,gas,88230,clean,manual,fwd,full-size,coupe,blue,md,9901.003957717712
27806,nashville,1994,chevrolet,fair,6 cylinders,,227799,clean,automatic,fwd,full-size,pickup,black,tn,4157.908864556521
27807,ventura county,2005,mazda,fair,4 cylinders,gas,158800,,manual,fwd,mid-size,,red,ca,4152.790379647152
27808,maine,2005,honda,excellent,4 cylinders,gas,244809,clean,automatic,fwd,mid-size,sedan,silver,me,3887.4707575771517
27809,baltimore,2004,toyota,good,4 cylinders,gas,202919,clean,manual,fwd,full-size,wagon,black,,4442.90144455828
27810,tampa bay area,2006,jeep,excellent,6 cylinders,gas,85637,rebuilt,automatic,4wd,mid-size,SUV,black,,16456.35676836563
27811,upper peninsula,2004,bmw,good,6 cylinders,gas,65729,clean,automatic,fwd,full-size,SUV,grey,mi,9250.203609964285
27812,las vegas,2017,bmw,excellent,6 cylinders,gas,9428,clean,automatic,rwd,full-size,coupe,black,nv,20562.479368522276
27813,upper peninsula,2013,BMW,excellent,8 cylinders,gas,149144,clean,automatic,rwd,full-size,convertible,black,mi,11404.255274415362
27814,bismarck,1991,ford,fair,8 cylinders,gas,76006,clean,manual,rwd,full-size,coupe,green,nd,6306.323107039792
27815,madison,2015,chevrolet,excellent,6 cylinders,gas,40166,clean,automatic,fwd,full-size,SUV,black,wi,15407.12610791794
27816,greensboro,2002,BMW,like new,6 cylinders,gas,102395,clean,automatic,rwd,full-size,coupe,orange,nc,11358.500027376784
27817,columbus,1998,honda,excellent,4 cylinders,gas,211542,clean,manual,fwd,compact,hatchback,silver,oh,4198.321398809851
27818,st george,2009,lexus,excellent,4 cylinders,gas,64303,clean,automatic,fwd,full-size,sedan,black,ut,10452.080316377613
27819,north dakota,2005,CHEVROLET,fair,8 cylinders,gas,122413,clean,automatic,fwd,full-size,SUV,green,nd,4861.1197947996325
27820,eugene,2014,ford,excellent,6 cylinders,diesel,13190,clean,manual,4wd,full-size,truck,black,or,34388.87452400069
27821,greenville / upstate,2017,ford,excellent,6 cylinders,gas,15852,clean,automatic,4wd,full-size,SUV,black,,23521.25942721678
27822,rapid city / west SD,2012,jeep,excellent,6 cylinders,gas,77473,clean,automatic,rwd,full-size,van,white,sd,16536.246644321363
27823,muskegon,2015,ford,excellent,8 cylinders,diesel,48607,clean,manual,4wd,full-size,truck,black,,29046.070453063585
27824,minneapolis / st paul,2013,bmw,good,6 cylinders,gas,86964,clean,automatic,fwd,full-size,SUV,white,mn,9773.641857372108
27825,tampa bay area,2013,honda,excellent,4 cylinders,gas,109945,clean,automatic,fwd,mid-size,sedan,white,fl,8669.903677689328
27826,grand rapids,1996,ram,excellent,6 cylinders,diesel,148010,clean,manual,4wd,full-size,pickup,black,mi,17836.35561342398
27827,knoxville,2013,bmw,excellent,6 cylinders,gas,98469,clean,automatic,rwd,mid-size,sedan,black,tn,12114.052670503906
27828,los angeles,1996,bmw,excellent,6 cylinders,gas,18568,clean,automatic,rwd,mid-size,coupe,black,ca,16621.172266129815
27829,richmond,2013,honda,fair,6 cylinders,gas,138136,salvage,automatic,fwd,compact,sedan,blue,va,4170.219705102756
27830,rochester,1995,ram,excellent,6 cylinders,gas,111619,clean,automatic,4wd,full-size,pickup,black,ny,16254.004455364951
27831,san diego,2011,ford,excellent,4 cylinders,gas,89416,clean,automatic,fwd,mid-size,sedan,silver,ca,9456.153025177735
27832,northern michigan,2010,honda,excellent,4 cylinders,gas,153480,rebuilt,other,fwd,compact,sedan,silver,mi,6081.81151653318
27833,sioux falls / SE SD,2006,chevrolet,excellent,6 cylinders,gas,296887,clean,automatic,4wd,full-size,SUV,custom,sd,6236.6721185245115
27834,oklahoma city,2013,ford,excellent,6 cylinders,,80553,clean,manual,fwd,full-size,sedan,silver,ok,9886.675165217723
27835,albany,2012,toyota,excellent,6 cylinders,gas,206422,clean,automatic,fwd,mid-size,SUV,black,ny,6438.238293439173
27836,central NJ,2001,buick,excellent,6 cylinders,gas,182425,clean,automatic,fwd,mid-size,sedan,white,nj,6111.117911254158
27837,san diego,2019,chevrolet,good,8 cylinders,gas,8259,clean,automatic,rwd,mid-size,truck,black,ca,22108.66671946652
27838,lubbock,2007,ram,excellent,8 cylinders,diesel,232563,clean,automatic,4wd,full-size,truck,white,tx,15042.636722794537
27839,harrisonburg,2012,ｆｏｒｄ,excellent,6 cylinders,gas,180753,clean,automatic,rwd,full-size,van,white,va,11230.808618846726
27840,syracuse,2014,volkswagen,like new,4 cylinders,,95032,salvage,automatic,fwd,compact,sedan,black,ny,7815.341320501232
27841,palm springs,2012,bmw,excellent,6 cylinders,gas,67465,clean,automatic,rwd,mid-size,sedan,black,ca,13754.676482833745
27842,reno / tahoe,2017,lexus,excellent,6 cylinders,gas,136332,clean,automatic,4wd,mid-size,SUV,silver,ca,12109.530905703745
27843,shreveport,2002,toyota,excellent,6 cylinders,gas,233332,clean,automatic,fwd,full-size,SUV,green,la,4119.815738551853
27844,mobile,1988,chevrolet,excellent,4 cylinders,gas,129893,rebuilt,automatic,fwd,mid-size,coupe,black,al,8889.581378335773
27845,philadelphia,2014,chevrolet,good,4 cylinders,gas,72770,clean,manual,fwd,compact,sedan,black,pa,8307.697089447545
27846,chicago,2007,kia,excellent,6 cylinders,gas,112754,clean,automatic,fwd,mid-size,sedan,grey,il,7850.788483056068
27847,new haven,2007,jeep,excellent,4 cylinders,gas,92471,clean,manual,4wd,full-size,SUV,green,ct,11258.364441549114
27848,hickory / lenoir,2007,ford,excellent,6 cylinders,,180258,clean,automatic,fwd,mid-size,SUV,black,,7922.376485969158
27849,st cloud,2003,lexus,excellent,4 cylinders,gas,131797,clean,automatic,fwd,mid-size,sedan,black,mn,7444.376898503309
27850,south coast,1992,ram,excellent,8 cylinders,diesel,37637,clean,automatic,rwd,full-size,truck,green,ma,21740.007122081744
27851,omaha / council bluffs,2012,dodge,excellent,6 cylinders,gas,132670,clean,automatic,rwd,mid-size,SUV,white,ia,13177.886766597243
27852,los angeles,2007,chevrolet,excellent,8 cylinders,diesel,157258,clean,automatic,4wd,full-size,truck,black,ca,17636.946139027645
27853,south coast,1983,ford,like new,8 cylinders,gas,132505,clean,automatic,4wd,full-size,truck,black,ma,12580.992370188325
27854,bakersfield,2011,HYUNDAI,excellent,4 cylinders,gas,162814,clean,automatic,fwd,mid-size,sedan,black,ca,5562.877278759498
27855,albuquerque,2015,ford,excellent,8 cylinders,gas,37170,clean,automatic,fwd,full-size,pickup,white,nm,17823.61072104596
27856,rochester,2014,hyundai,excellent,4 cylinders,gas,137192,clean,manual,fwd,mid-size,sedan,silver,ny,5754.233144027975
27857,madison,2015,chevrolet,excellent,6 cylinders,gas,66186,rebuilt,automatic,fwd,full-size,van,grey,wi,15342.448316817241
27858,las vegas,2002,bmw,excellent,6 cylinders,gas,159060,clean,manual,rwd,mid-size,sedan,black,nv,8253.2724716908
27859,reno / tahoe,2013,mitsubishi,good,6 cylinders,gas,121831,clean,other,fwd,compact,coupe,black,ca,7496.032378289521
27860,los angeles,2015,mini,excellent,4 cylinders,gas,25231,clean,manual,4wd,mid-size,sedan,black,ca,15699.89586774596
27861,eugene,2010,CHEVROLET,good,8 cylinders,gas,151651,clean,manual,rwd,full-size,truck,silver,or,9780.98103281045
27862,st cloud,2006,ford,fair,6 cylinders,gas,162601,clean,automatic,4wd,full-size,truck,silver,mn,7712.534461909529
27863,vermont,2011,chevrolet,good,4 cylinders,gas,113911,clean,automatic,4wd,full-size,SUV,black,vt,12118.943748172014
27864,worcester / central MA,2012,chevrolet,good,6 cylinders,gas,30620,clean,automatic,4wd,full-size,SUV,black,ma,17437.644550358742
27865,rochester,2013,honda,excellent,4 cylinders,gas,105968,clean,other,fwd,compact,SUV,silver,ny,8115.192582533712
27866,ocala,1999,mitsubishi,fair,4 cylinders,gas,153351,salvage,manual,fwd,mid-size,sedan,blue,,4441.412793964933
27867,rhode island,2010,chevrolet,excellent,6 cylinders,gas,110425,clean,manual,4wd,mid-size,SUV,red,,13497.699792020381
27868,springfield,2010,ram,excellent,6 cylinders,gas,177512,clean,automatic,4wd,full-size,truck,blue,,14795.627065006454
27869,baltimore,1985,ford,excellent,6 cylinders,,109708,clean,manual,fwd,full-size,SUV,black,md,8652.282041038725
27870,"washington, DC",2012,ford,good,6 cylinders,diesel,90414,clean,automatic,4wd,full-size,SUV,red,dc,15792.375410962195
27871,myrtle beach,1989,FORD,excellent,8 cylinders,gas,134333,clean,manual,fwd,midーsize,coupe,green,sc,5824.694064211061
27872,worcester / central MA,2001,jeep,fair,6 cylinders,gas,175633,clean,automatic,4wd,full-size,SUV,black,ma,6093.824816027942
27873,north jersey,2016,FORD,like new,8 cylinders,diesel,100282,clean,automatic,4wd,full-size,truck,blue,nj,25803.86838932979
27874,atlanta,2016,mini,like new,4 cylinders,gas,70661,clean,automatic,fwd,compact,sedan,blue,ga,9499.765800589521
27875,central NJ,2010,ford,good,4 cylinders,,82303,clean,automatic,rwd,mid-size,van,black,nj,13479.8191874441
27876,fresno / madera,2015,toyota,excellent,6 cylinders,gas,118164,clean,automatic,fwd,mid-size,sedan,blue,ca,8548.007499749016
27877,albany,2014,nissan,like new,4 cylinders,gas,78479,clean,automatic,fwd,mid-size,sedan,silver,ny,9360.605455383806
27878,waco,2014,bmw,excellent,6 cylinders,gas,47333,clean,automatic,rwd,mid-size,sedan,silver,,14112.305838082708
27879,treasure coast,1982,chevrolet,good,8 cylinders,diesel,91242,clean,automatic,rwd,full-size,pickup,green,fl,11040.995563585224
27880,fort wayne,2013,jeep,excellent,6 cylinders,gas,34492,clean,automatic,4wd,full-size,SUV,white,in,20935.86973706026
27881,hartford,2005,volkswagen,good,5 cylinders,gas,150156,clean,automatic,fwd,sub-compact,sedan,silver,ct,4415.773598631312
27882,eau claire,2013,chevrolet,excellent,8 cylinders,gas,148951,rebuilt,automatic,4wd,full-size,SUV,silver,wi,12932.39394585145
27883,wichita,2015,honda,excellent,4 cylinders,gas,77078,clean,automatic,fwd,compact,sedan,black,ks,8717.112563077493
27884,anchorage / mat-su,2017,honda,good,4 cylinders,gas,179426,clean,automatic,fwd,full-size,van,silver,ak,5463.766243949479
27885,central NJ,2003,ford,good,6 cylinders,gas,141195,clean,manual,4wd,full-size,truck,white,nj,11793.971104298284
27886,scranton / wilkes-barre,2014,jeep,excellent,6 cylinders,gas,111764,clean,automatic,4wd,full-size,SUV,black,pa,14125.006565146074
27887,ventura county,2010,TOYOTA,excellent,6 cylinders,gas,123737,clean,automatic,4wd,mid-size,sedan,grey,ca,10648.681660828572
27888,orlando,2012,kia,excellent,4 cylinders,gas,154571,rebuilt,automatic,fwd,mid-size,sedan,silver,fl,7074.174871316346
27889,southern illinois,2016,FORD,fair,8 cylinders,gas,79872,clean,automatic,rwd,full-size,truck,black,il,12081.994821129363
27890,grand rapids,2016,ram,like new,8 cylinders,gas,10134,lien,automatic,4wd,full-size,pickup,black,mi,34460.93588683048
27891,norfolk / hampton roads,2011,toyota,excellent,4 cylinders,gas,255445,clean,automatic,fwd,full-size,sedan,black,va,4420.347112234238
27892,philadelphia,2015,chevrolet,good,4 cylinders,gas,70556,clean,automatic,fwd,compact,SUV,white,pa,10791.820551705043
27893,las vegas,1984,chevrolet,fair,8 cylinders,gas,71766,clean,automatic,rwd,full-size,coupe,green,nv,6327.757967173863
27894,nashville,2006,ford,fair,8 cylinders,gas,231713,clean,automatic,4wd,full-size,truck,silver,tn,5573.720647791167
27895,rochester,2013,toyota,excellent,4 cylinders,gas,79772,,automatic,4wd,mid-size,,blue,ny,16122.367385098398
27896,modesto,2008,ford,excellent,8 cylinders,gas,155202,clean,automatic,rwd,full-size,coupe,blue,ca,10777.90772393801
27897,albany,2010,ford,excellent,6 cylinders,diesel,78093,clean,automatic,rwd,full-size,truck,black,ny,24248.141043210333
27898,lansing,2013,bmw,excellent,8 cylinders,gas,141011,clean,automatic,rwd,full-size,SUV,silver,mi,10524.622614408978
